Price,Close,High,Low,Open,Volume
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
Datetime,,,,,
2026-03-25 03:45:00+00:00,1417.800048828125,1420.800048828125,1416.9000244140625,1419.4000244140625,0
2026-03-25 03:46:00+00:00,1419.0,1419.800048828125,1416.300048828125,1417.300048828125,87950
2026-03-25 03:47:00+00:00,1417.5999755859375,1419.4000244140625,1417.199951171875,1419.300048828125,54656
2026-03-25 03:48:00+00:00,1416.5999755859375,1418.4000244140625,1416.5999755859375,1417.4000244140625,59796
2026-03-25 03:49:00+00:00,1416.5999755859375,1417.0,1416.0,1416.5999755859375,49691
2026-03-25 03:50:00+00:00,1417.4000244140625,1417.699951171875,1416.0,1416.4000244140625,61861
2026-03-25 03:51:00+00:00,1418.0,1418.0999755859375,1416.699951171875,1417.4000244140625,36070
2026-03-25 03:52:00+00:00,1418.4000244140625,1418.800048828125,1417.0,1418.199951171875,41098
2026-03-25 03:53:00+00:00,1417.199951171875,1418.699951171875,1417.199951171875,1418.300048828125,21716
2026-03-25 03:54:00+00:00,1418.699951171875,1418.699951171875,1417.199951171875,1417.300048828125,31974
2026-03-25 03:55:00+00:00,1418.0,1418.5,1417.9000244140625,1418.4000244140625,57399
2026-03-25 03:56:00+00:00,1418.0,1418.199951171875,1417.699951171875,1418.0999755859375,20034
2026-03-25 03:57:00+00:00,1416.800048828125,1418.0999755859375,1416.800048828125,1418.0999755859375,35368
2026-03-25 03:58:00+00:00,1414.9000244140625,1415.5,1414.699951171875,1415.4000244140625,99064
2026-03-25 03:59:00+00:00,1416.9000244140625,1417.0999755859375,1414.0999755859375,1414.800048828125,51090
2026-03-25 04:00:00+00:00,1416.5,1417.300048828125,1416.0,1416.800048828125,25190
2026-03-25 04:01:00+00:00,1416.4000244140625,1417.0999755859375,1416.300048828125,1416.699951171875,24913
2026-03-25 04:02:00+00:00,1416.4000244140625,1417.4000244140625,1416.0999755859375,1416.699951171875,27080
2026-03-25 04:03:00+00:00,1415.300048828125,1416.5,1415.300048828125,1416.5,26624
2026-03-25 04:04:00+00:00,1416.4000244140625,1416.9000244140625,1415.5,1415.5,21021
2026-03-25 04:05:00+00:00,1416.5,1416.699951171875,1415.9000244140625,1416.4000244140625,30594
2026-03-25 04:06:00+00:00,1416.199951171875,1416.800048828125,1416.0,1416.5,19963
2026-03-25 04:07:00+00:00,1416.9000244140625,1417.0,1416.4000244140625,1416.4000244140625,15935
2026-03-25 04:08:00+00:00,1417.199951171875,1417.9000244140625,1416.5,1416.5,33309
2026-03-25 04:09:00+00:00,1416.699951171875,1417.4000244140625,1416.300048828125,1417.0999755859375,22390
2026-03-25 04:10:00+00:00,1416.5999755859375,1416.9000244140625,1416.5999755859375,1416.9000244140625,14778
2026-03-25 04:11:00+00:00,1416.699951171875,1417.5,1416.4000244140625,1416.5999755859375,54202
2026-03-25 04:12:00+00:00,1417.9000244140625,1417.9000244140625,1416.5999755859375,1416.699951171875,23831
2026-03-25 04:13:00+00:00,1419.0,1419.300048828125,1417.9000244140625,1418.0,30393
2026-03-25 04:14:00+00:00,1419.800048828125,1420.4000244140625,1419.0,1419.5999755859375,51874
2026-03-25 04:15:00+00:00,1421.199951171875,1421.4000244140625,1419.4000244140625,1420.0,58775
2026-03-25 04:16:00+00:00,1420.300048828125,1421.0999755859375,1420.0,1421.0,30515
2026-03-25 04:17:00+00:00,1419.199951171875,1420.4000244140625,1419.0999755859375,1420.4000244140625,29250
2026-03-25 04:18:00+00:00,1419.5,1419.800048828125,1419.0,1419.5999755859375,16008
2026-03-25 04:19:00+00:00,1419.0,1420.0,1419.0,1420.0,23178
2026-03-25 04:20:00+00:00,1418.5,1419.4000244140625,1418.5,1419.199951171875,18120
2026-03-25 04:21:00+00:00,1418.5,1419.0,1418.5,1418.5999755859375,14370
2026-03-25 04:22:00+00:00,1418.699951171875,1419.300048828125,1418.5,1418.5999755859375,25335
2026-03-25 04:23:00+00:00,1418.0,1418.800048828125,1417.0,1418.5,45228
2026-03-25 04:24:00+00:00,1418.0999755859375,1418.5,1417.4000244140625,1418.300048828125,44849
2026-03-25 04:25:00+00:00,1418.800048828125,1419.4000244140625,1417.0999755859375,1417.9000244140625,87151
2026-03-25 04:26:00+00:00,1418.0999755859375,1419.0,1417.9000244140625,1418.9000244140625,31058
2026-03-25 04:27:00+00:00,1417.9000244140625,1418.699951171875,1417.699951171875,1418.0,84650
2026-03-25 04:28:00+00:00,1417.699951171875,1418.4000244140625,1417.199951171875,1418.0,30151
2026-03-25 04:29:00+00:00,1418.699951171875,1418.699951171875,1417.699951171875,1418.199951171875,28595
2026-03-25 04:30:00+00:00,1418.5999755859375,1419.300048828125,1418.0,1418.300048828125,26712
2026-03-25 04:31:00+00:00,1418.5999755859375,1419.0,1418.0,1418.5,48610
2026-03-25 04:32:00+00:00,1419.199951171875,1419.5999755859375,1418.5999755859375,1419.0999755859375,90142
2026-03-25 04:33:00+00:00,1419.199951171875,1419.4000244140625,1418.699951171875,1419.300048828125,34684
2026-03-25 04:34:00+00:00,1417.800048828125,1419.300048828125,1417.800048828125,1419.300048828125,41988
2026-03-25 04:35:00+00:00,1418.0999755859375,1418.300048828125,1417.9000244140625,1417.9000244140625,27642
2026-03-25 04:36:00+00:00,1417.199951171875,1418.199951171875,1416.0,1418.0999755859375,69327
2026-03-25 04:37:00+00:00,1417.9000244140625,1418.199951171875,1417.0,1417.0999755859375,25351
